bin_left,bin_right,count
0.0,11.782051282051283,2522
11.782051282051283,23.564102564102566,2288
23.564102564102566,35.34615384615385,1774
35.34615384615385,47.12820512820513,1764
47.12820512820513,58.910256410256416,1530
58.910256410256416,70.6923076923077,1595
70.6923076923077,82.47435897435898,1443
82.47435897435898,94.25641025641026,1340
94.25641025641026,106.03846153846155,1316
106.03846153846155,117.82051282051283,1056
117.82051282051283,129.60256410256412,1064
129.60256410256412,141.3846153846154,1011
141.3846153846154,153.16666666666669,880
153.16666666666669,164.94871794871796,753
164.94871794871796,176.73076923076925,751
176.73076923076925,188.51282051282053,709
188.51282051282053,200.2948717948718,581
200.2948717948718,212.0769230769231,567
212.0769230769231,223.85897435897436,452
223.85897435897436,235.64102564102566,465
235.64102564102566,247.42307692307693,445
247.42307692307693,259.20512820512823,384
259.20512820512823,270.9871794871795,351
270.9871794871795,282.7692307692308,302
282.7692307692308,294.55128205128204,297
294.55128205128204,306.33333333333337,283
306.33333333333337,318.11538461538464,273
318.11538461538464,329.8974358974359,224
329.8974358974359,341.6794871794872,212
341.6794871794872,353.4615384615385,206
353.4615384615385,365.2435897435898,214
365.2435897435898,377.02564102564105,185
377.02564102564105,388.8076923076923,138
388.8076923076923,400.5897435897436,139
400.5897435897436,412.3717948717949,140
412.3717948717949,424.1538461538462,116
424.1538461538462,435.93589743589746,100
435.93589743589746,447.71794871794873,105
447.71794871794873,459.50000000000006,108
459.50000000000006,471.2820512820513,100
471.2820512820513,483.0641025641026,95
483.0641025641026,494.84615384615387,81
494.84615384615387,506.62820512820514,82
506.62820512820514,518.4102564102565,83
518.4102564102565,530.1923076923077,73
530.1923076923077,541.974358974359,70
541.974358974359,553.7564102564103,66
553.7564102564103,565.5384615384615,56
565.5384615384615,577.3205128205128,37
577.3205128205128,589.1025641025641,58
589.1025641025641,600.8846153846155,53
600.8846153846155,612.6666666666667,48
612.6666666666667,624.448717948718,51
624.448717948718,636.2307692307693,38
636.2307692307693,648.0128205128206,48
648.0128205128206,659.7948717948718,32
659.7948717948718,671.5769230769231,30
671.5769230769231,683.3589743589744,38
683.3589743589744,695.1410256410256,34
695.1410256410256,706.923076923077,37
706.923076923077,718.7051282051283,26
718.7051282051283,730.4871794871796,23
730.4871794871796,742.2692307692308,18
742.2692307692308,754.0512820512821,29
754.0512820512821,765.8333333333334,33
765.8333333333334,777.6153846153846,17
777.6153846153846,789.3974358974359,20
789.3974358974359,801.1794871794872,20
801.1794871794872,812.9615384615386,13
812.9615384615386,824.7435897435898,17
824.7435897435898,836.5256410256411,13
836.5256410256411,848.3076923076924,14
848.3076923076924,860.0897435897436,14
860.0897435897436,871.8717948717949,19
871.8717948717949,883.6538461538462,15
883.6538461538462,895.4358974358975,16
895.4358974358975,907.2179487179487,14
907.2179487179487,919.0000000000001,6
919.0000000000001,930.7820512820514,18
930.7820512820514,942.5641025641027,14
942.5641025641027,954.3461538461539,12
954.3461538461539,966.1282051282052,6
966.1282051282052,977.9102564102565,14
977.9102564102565,989.6923076923077,22
989.6923076923077,1001.474358974359,13
1001.474358974359,1013.2564102564103,6
1013.2564102564103,1025.0384615384617,2
1025.0384615384617,1036.820512820513,7
1036.820512820513,1048.6025641025642,5
1048.6025641025642,1060.3846153846155,10
