word,frequency
like,32819
feel,28960
know,20703
want,20249
life,18690
get,17986
even,16313
time,15016
people,14594
really,14319
one,12687
would,11260
friends,10563
never,10520
depression,10264
think,9999
day,9664
much,9654
going,9631
things,9369
